UID,title,authors,abstract,pdf_url,SessionInformation,presentation_id,GatherTownLink,ZoomLink
IAAI-23,Enhancing E-commerce Recommender System Adaptability with Online Deep Controllable Learning-To-Rank,Anxiang Zeng|Han Yu|Hualin He|Yabo Ni|Yongliang Li|Jingren Zhou|Chunyan Miao,"In the past decade, recommender systems for e-commerce have witnessed significant advancement. Recommendation scenarios can be divided into different type (e.g., pre-, during-, post-purchase, campaign, promotion, bundle) for different user groups or different businesses. For different scenarios, the goals of recommendation are different. This is reflected by the different performance metrics employed. In addition, online promotional campaigns, which attract high traffic volumes, are also a critical factor affecting e-commerce recommender systems. Typically, prior to a promotional campaign, the Add-to-Cart Rate (ACR) is the target of optimization. During the campaign, this changes to Gross Merchandise Volumes (GMV). Immediately after the campaign, it becomes Click Through Rates CTR. Dynamically adapting among these potentially conflicting optimization objectives is an important capability for recommender systems deployed in real-world e-commerce platforms. In this paper, we report our experience designing and deploying the Deep Controllable Learning-To-Rank (DC-LTR) recommender system to address this challenge. It enhances the feedback controller in LTR with multi-objective optimization so as to maximize different objectives under constraints. Its ability to dynamically adapt to changing business objectives has resulted in significant business advantages. Since September 2019, DC-LTR has become a core service enabling adaptive online training and real-time deployment ranking models based on changing business objectives in AliExpress and Lazada. Under both everyday use scenarios and peak load scenarios during large promotional campaigns, DC-LTR has achieved significant improvements in satisfying real-world business objectives.","i.e., a link to the preprint version of each paper (probably hosted in AAAI official site). We also need a zipped file of all the papers in order to extract an image from each paper","e.g., 10:00-11:00, February 7 ","i.e., for the link https://slideslive.com/paper.SlidesLivePresentationID",Each paper has a unique GatherTownLink,We need this information if there is a paper presentation session
IAAI-73,Neutrino^{TM}: A BlackBox Framework for Constrained Deep Learning Model Optimization,Anush Sankaran|Olivier Mastropietro|Ehsan Saboori|Yasser Idris|Davis Sawyer|Mohammadhossein Askarihemmat|Ghouthi Boukli Hacene,"Designing deep learning-based solutions is becoming a race for training deeper models with a greater number of layers.While a large-size deeper model could provide competitive accuracy, it creates a lot of logistical challenges and unreasonable resource requirements during development and deployment. This has been one of the key reasons for deep learning models not being excessively used in various production environments, especially in edge devices. There is an immediate requirement for optimizing and compressing these deep learning models, to enable on-device intelligence.In this research, we introduce a black-box framework, Neutrino^{TM} for production-ready optimization of deep learning models. The framework provides an easy mechanism for the end-users to provide constraints such as a tolerable drop in accuracy or target size of the optimized models, to guide the whole optimization pipeline. The framework is easy to include in an existing production pipeline and is available as a Python Package, supporting PyTorch and Tensorflow libraries. The optimization performance of the framework is shown across multiple benchmark datasets and popular deep learning models. Further, the framework is currently used in production and the results and testimonials from several clients are summarized.",,,,,
IAAI-84,Comparison Lift: Bandit-based Experimentation System for Online Advertising,Tong Geng|Harikesh Nair|Xiliang Lin|Jun Hao|Bin Xiang|Shurui Fan,"Comparison Lift is an experimentation-as-a-service (EaaS) application for testing online advertising audiences and creatives at JD.com. Unlike many other EaaS tools that focus primarily on fixed sample A/B testing, Comparison Lift deploys a custom bandit-based experimentation algorithm. The advantages of the bandit-based approach are two-fold. First, it aligns the randomization induced in the test with the advertiser’s goals from testing. Second, by adapting experimental design to information acquired during the test, it reduces substantially the cost of experimentation to the advertiser. Since launch in May 2019, Comparison Lift has been utilized in over 1,500 experiments. We estimate that utilization of the product has helped increase click-through rates of participating advertising campaigns by 46% on average. We estimate that the adaptive design in the product has generated 27% more clicks on average during testing compared to a fixed sample A/B design. Both suggest significant value generation and cost savings to advertisers from the product.",,,,,
IAAI-89,Robust PDF Document Conversion using Recurrent Neural Networks,Nikolaos Livathinos|Cesar Berrospi|Maksym Lysak|Viktor Kuropiatnyk|Ahmed Nassar|Andre Carvalho|Michele Dolfi|Christoph Auer|Kasper Dinkla|Peter W. J. Staar,"The number of published PDF documents in both the academic and commercial world has increased exponentially in recent decades. There is a growing need to make their rich content discoverable to information retrieval tools. Achieving high-quality semantic searches demands that a document's structural components such as title, section headers, paragraphs, (nested) lists, tables and figures (including their captions) are properly identified. Unfortunately, the PDF format is known to not conserve such structural information because it simply represents a document as a stream of low-level printing commands, in which one or more characters are placed in a bounding box with a particular styling. In this paper, we present a novel approach to document structure recovery in PDF using recurrent neural networks to process the low-level PDF data representation directly, instead of relying on a visual re-interpretation of the rendered PDF page, as has been proposed in previous literature. We demonstrate how a sequence of PDF printing commands can be used as input into a neural network and how the network can learn to classify each printing command according to its structural function in the page. This approach has three advantages: First, it can distinguish among more fine-grained labels (typically 10-20 labels as opposed to 1-5 with visual methods), which results in a more accurate and detailed document structure resolution. Second, it can take into account the text flow across pages more naturally compared to visual methods because it can concatenate the printing commands of sequential pages. Last, our proposed method needs less memory and it is computationally less expensive than visual methods. This allows us to deploy such models in production environments at a much lower cost. Through extensive architectural search in combination with advanced feature engineering, we were able to implement a model that yields a weighted average F1 score of 97% across 17 distinct structural labels. The best model we achieved is currently served in production environments on our Corpus Conversion Service (CCS), which was presented at KDD18. This  model enhances the capabilities of CCS significantly, as it eliminates the  need for human annotated label ground-truth for every unseen document layout. This proved particularly useful when applied  to a huge corpus of PDF articles related to COVID-19.",,,,,
IAAI-92,Automated Reasoning and Learning for Automated Payroll Management,Sebastijan Dumancic|Wannes Meert|Stijn Goethals|Tim Stuyckens|Jelle Huygen|Koen Denies,"While payroll management is a crucial aspect of any business venture, anticipating the future financial impact of changes to the payroll policy is a challenging task due to the complexity of tax legislature. The goal of this work is to automatically explore potential payroll policies and find the optimal set of policies that satisfies the user's needs. To achieve this goal, we overcome two major challenges. First, we translate the tax legislative knowledge into a formal representation flexible enough to support a variety of scenarios in payroll calculations. Second, the legal knowledge is further compiled into a set of constraints from which a constraint solver can find the optimal policy. Furthermore, payroll computation is performed on the individual basis which might be expensive for companies with a large number of employees. To make the optimisation more efficient, we integrate it with a machine learning model that learns from the previous optimisation runs and speeds up the optimisation engine. The results of this work have been deployed by a social insurance fund.",,,,,
IAAI-93,Tool for Automated Tax Coding of Invoices,Tarun Tater|Sampath Dechu|Neelamadhav Gantayat|Meena Guptha|Sivakumar Narayanan,"Accounts payable refer to the practice where organizations procure goods and services on credit which need to be reimbursed to the vendors in due time. Once the vendor raises an invoice, it undergoes through a plethora of prosecutorial vindictive process before the final payment. In this process, tax code determination is one of the challenging step, as it directly determines the amount payable to a vendor and also for regulatory compliance. However, it is error-prone, labor (resource) intensive, and needs regular training of the resources as it is done manually. Further, an error in the tax code determination induces penalties on the organization.Automatically arriving at a tax-code for a given product accurately and efficiently is a daunting task. To address this problem, we present an automated end-to-end system for tax code determination which can either be used as a standalone application or can be integrated into an existing invoice processing workflow. The proposed system determines the most relevant tax code for an invoice using attributes such as item description, vendor details, and product's geographical details such as shipping and delivery location. Design decisions for the proposed system are driven by high accuracy, explainability, coverage, business continuity, scalability, and optimal usage of computational resources.The system has been deployed in production for one of the major consumer goods companies for more than 6 months. It has already processed more than 22k items with an accuracy of  more than 94% and high confidence prediction accuracy of around 99.54%. Using this system, approximately 73% of all the invoices require no human intervention.",,,,,
IAAI-100,An Automated Engineering Assistant: Learning Parsers for Technical Drawings,Dries Van Daele|Wannes Meert|Nicholas Decleyre|Herman Dubois,"Manufacturing companies rely on technical drawings to develop new designs or adapt designs to customer preferences. The database of historical and novel technical drawings thus represents the knowledge that is core to their operations. With current methods, however, utilizing these drawings is mostly a manual and time consuming effort. In this work, we present a software tool that knows how to interpret various parts of the drawing and can translate this information to allow for automatic reasoning and machine  learning  on top of such a large database of technical drawings. For example, to find erroneous designs, to learn about patterns present in successful designs, etc. To achieve this, we propose a method that automatically learns a parser capable of interpreting technical drawings, using only limited expert interaction. The proposed method makes use of both neural methods and symbolic  methods.  Neural methods to interpret visual images and recognize parts of two-dimensional drawings. Symbolic methods to deal with the relational structure and understand the data encapsulated in complex tables present in the technical drawing. Furthermore, the output can be used, for example, to build a similarity based search algorithm. We showcase one deployed tool that is used to help engineers find relevant, previous designs more easily as they can now query the database using a partial design instead of through limited and tedious keyword searches. A partial design can be a part of the two-dimensional  drawing, part of a table,  part of  the  contained textual information, or combinations thereof.",,,,,
IAAI-124,Accurate and Interpretable Machine Learning for Transparent Pricing of Health Insurance Plans,Rohun Kshirsagar|Li-Yen Hsu|Matthew McLelland|Anushadevi Mohan|Wideet Shende|Nicolas Tilmans|Min Guo|Ankit Chheda|Meredith Trotter|Shonket Ray|Miguel Alvarado,"Health insurance companies cover half of the United States population through commercial employer-sponsored health plans and pay 1.2 trillion US dollars every year to cover medical expenses for their members.  The actuary and underwriter roles at a health insurance company serve to assess which risks to take on and how to price those risks to ensure profitability of the organization.  While Bayesian hierarchical models are the current standard in the industry to estimate risk, interest in machine learning as a way to improve upon these existing methods is increasing. Lumiata, a healthcare analytics company, ran a study with a large health insurance company in the United States.  We evaluated the ability of machine learning models to predict the per member per month cost of employer groups in their next renewal period, especially those groups who will cost less than 95\% of what an actuarial model predicts (groups with ""concession opportunities""). We developed a sequence of two models, an individual patient-level and an employer-group-level model, to predict the annual per member per month allowed amount for employer groups, based on a population of 14 million patients. Our models performed 20\% better than the insurance carrier's existing pricing model, and identified 84\% of the concession opportunities. This study demonstrates the application of a machine learning system to compute an accurate and fair price for health insurance products and analyzes how explainable machine learning models can exceed actuarial models' predictive accuracy while maintaining interpretability.",,,,,
IAAI-132,Mars Image Content Classification: Three Years of NASA Deployment and Recent Advances,Kiri Wagstaff|Steven Lu|Emily Dunkel|Kevin Grimes|Brandon Zhao|Jesse Cai|Shoshanna Cole|Gary Doran|Raymond Francis|Jake Lee|Lukas Mandrake,"The NASA Planetary Data System hosts millions of images acquired from the planet Mars. To help users quickly find images of interest, we have developed and deployed content-based classification and search capabilities for Mars orbital and surface images. The deployed systems are publicly accessible using the PDS Image Atlas. We describe the process of training, evaluating, calibrating, and deploying updates to two CNN classifiers for images collected by Mars missions. We also report on three years of deployment including usage statistics, lessons learned, and plans for the future.",,,,,
IAAI-140,An End-to-End Solution for Named Entity Recognition in eCommerce Search,Xiang Cheng|Mitchell Bowden|Bhushan Bhange|Priyanka Goyal|Thomas Packer|Faizan Javed,"Named entity recognition (NER) is a critical step in modern search query understanding. In the domain of eCommerce, identifying the key entities, such as brand and product type, can help a search engine retrieve relevant products and therefore offer an engaging shopping experience. Recent research shows promising results on shared benchmark NER tasks using deep learning methods, but there are still unique challenges in the industry regarding domain knowledge, training data, and model production. This paper demonstrates an end-to-end solution to address these challenges. The core of our solution is a novel model training framework ”TripleLearn” which iteratively learns from three separate training datasets, instead of one training set as is traditionally done. Using this approach, the best model lifts the F1 score from 69.5 to 93.3 on the holdout test data. In our offline experiments, TripleLearn improved the model performance compared to traditional training approaches which use a single set of training data. Moreover, in the online A/B test, we see significant improvements in user engagement and revenue conversion. The model has been live on homedepot.com for more than 9 months, boosting search conversions and revenue. Beyond our application, this TripleLearn framework, as well as the end-to-end process, is model-independent and problem-independent, so it can be generalized to more industrial applications, especially to the eCommerce industry which has similar data foundations and problems.",,,,,
IAAI-145,Preclinical Stage Alzheimer's Disease Detection Using Magnetic Resonance Image Scans,Fatih Altay|Guillermo Sánchez|Yanli James|Senem Velipasalar|Asif Salekin,"Alzheimer's disease is one of the diseases that mostly affects older people without being a part of aging. The most common symptoms include problems with communicating and abstract thinking, as well as disorientation. It is important to detect Alzheimer's disease in early stages so that cognitive functioning would be improved by medication and training. In this paper, we propose two attention model networks for detecting Alzheimer's disease from MRI images to help early detection efforts at the preclinical stage. We also compare the performance of these two attention network models with a baseline model. Recently available OASIS-3 Longitudinal Neuroimaging, Clinical, and Cognitive Dataset is used to train, evaluate and compare our models. The novelty of this research resides in the fact that we aim to detect Alzheimer's disease when all the parameters, physical assessments, and clinical data state that the patient is healthy and showing no symptoms.",,,,,
IAAI-149,EeLISA: Combating Global Warming Through the Rapid Analysis of Eelgrass Wasting Disease,Brendan Rappazzo|Morgan Eisenlord|Olivia Graham|Lillian Aoki|Phoebe Dawkins|Drew Harvell|Carla Gomes,"Global warming is the greatest threat facing our planet, and is causing environmental disturbance at an unprecedented scale. We are strongly positioned to leverage the advancements of Artificial Intelligence (AI) and Machine Learning (ML) which provide humanity, for the first time in history, an analysis and decision making tool at massive scale. Strong evidence supports that global warming is contributing to marine ecosystem decline, including eelgrass habitat. Eelgrass is affected by an opportunistic marine pathogen and infections are likely exacerbated by rising ocean temperatures. The necessary disease analysis required to inform conservation priorities is incredibly laborious, and acts as a significant bottleneck for research. To this end, we developed EeLISA (Eelgrass Lesion Image Segmentation Application). EeLISA enables ecologist experts to train a segmentation module to perform this crucial analysis at human level accuracy, while minimizing their labeling time and integrating into their existing workflow. EeLISA has been deployed for over 16 months, and has facilitated the preparation of four manuscripts including a critical eelgrass study ranging from Southern California to Alaska. These studies, utilizing EeLISA, have led to scientific insight and discovery in marine disease ecology.",,,,,
IAAI-151,Author Homepage Discovery in CiteSeerX,Krutarth Patel|Cornelia Caragea|Doina Caragea|C. Lee Giles,"Scholarly digital libraries provide access to scientific publications and comprise useful resources for researchers. CiteSeerX is one such digital library search engine that provides access to more than 10 million academic documents. We propose a novel search-driven approach to build and maintain a large collection of homepages that can be used as seed URLs in any DL including CiteSeerX to crawl scientific documents. Precisely, we integrate Web search and classification in a unified approach to discover new homepages: first, we use publicly-available author names and research paper titles as queries to a Web search engine to find relevant content, and then we identify the correct homepages from the search results using a powerful deep learning classifier based on Convolutional Neural Networks. Moreover, we use Self-Training in order to reduce the labeling effort and to utilize the unlabeled data to train the efficient researcher homepage classifier. Our experiments on a large scale dataset highlight the effectiveness of our search-driven approach, and position Web search as an effective method for acquiring authors' homepages. We show the development and deployment of the proposed approach in CiteSeerX and the maintenance requirements. Our datasets and code will be made available online.",,,,,
IAAI-190,Using Unsupervised Learning for Data-driven Procurement Demand Aggregation,Eran Shaham|Adam Westerski|Rajaraman Kanagasabai|Amudha Narayanan|Samuel Ong|Jiayu Wong|Manjeet Singh,"Procurement is an essential operation of every organization, regardless of its size or domain. As such, aggregating the demands could lead to a better value-for-money due to: (1) lower bulk prices; (2) larger vendor tendering; (3) lower shipping and handling fees; and (4) reduced legal and admin overhead. This paper describes our experience on developing an AI solution for demand aggregation and deploying it in A*STAR, a large governmental research organization in Singapore, with procurement expenditure in the scale of 100’s of millions of dollars yearly. We formulate the demand aggregation problem using a bipartite graph model depicting the relationship between procured items and target vendors, and show that identifying maximal edge bicliques within that graph would reveal potential demand aggregation patterns. We propose an unsupervised learning methodology for efficiently mining such bicliques using a novel Monte Carlo sub-space clustering approach. Based on this, a proof-of-concept prototype was developed and tested with the end-users during 2017, and later trialed and iteratively refined, before being rolled out in 2019. The final performance achieved on past cases benchmark was: 100% precision (all aggregation opportunities identified by the engine were correct) and 71% re-call (the engine correctly identified 71% of the past aggregation exercises that were transformed into bulk tenders). The performance for new opportunities pointed out by the engine was 81% (i.e., 81% of the newly identified cases were deemed useful cases for potential bulk tender contracts in the future). Overall, the cost savings from the true positive contracts spotted so far are estimated to be S$7M annually.",,,,,
IAAI-21,JEL: Applying End-to-End Neural Entity Linking in JPMorgan Chase,Wanying Ding|Vinay Chaudhri|Naren Chittar|Krihshna Konakanchi,"Knowledge Graphs have emerged as a compelling abstraction for capturing key relationship among the entities of interest to enterprises and for integrating data from heterogeneous sources. JPMorgan Chase (JPMC) is leading this trend by leveraging knowledge graphs across the organization for multiple mission critical applications such as risk assessment, fraud detection, investment advice, etc. A core problem in leveraging a knowledge graph is to link mentions (e.g., company names) that are encountered in multiple information sources to entities in the knowledge graph. Although several techniques exist for entity linking, but they are tuned for entities that exist in Wikipedia, and fail to generalize for the entities that are of interest to an enterprise. In this paper, we propose a novel end-to-end neural entity linking model (JEL) that deploys a margin loss to generate entity embedding with minimum context information, and implements a Wide & Deep Learning to match character and semantic information respectively. We show that JEL achieves the state-of-the-art performance to link mentions of company names in financial news with entities in our knowledge graph. We report on our efforts to deploy this model in the company-wide system to generate alerts in response to financial news. The methodology used for JEL is directly applicable and usable by other enterprises who need entity linking solutions for data that is unique to their respective situation.",,,,,
IAAI-34,VRU Pose-SSD:  Multiperson  Pose  Estimation  For  Automated  Driving,Chandan Kumar|Jayanth Ramesh|Bodhisattwa Chakraborty|Renjith Raman|Christoph Weinrich|Anurag Mundhada|Arjun Jai|Fabian Flohr,"We present a fast and efficient approach for joint person detection and pose estimation optimized for automated driving (AD) in urban scenarios. We use a multitask weight sharing architecture to jointly train detection and pose estimation. This modular architecture allows us to accommodate different downstream tasks in the future. By systematic large-scale experiments on the Tsinghua-Daimler Urban Pose Dataset (TDUP), we obtain multiple models with varying accuracy-speed trade-offs. We then quantize and optimize our network for deployment and present a detailed analysis of the efficacy of the algorithm. We introduce a two-stage evaluation strategy, which is more suitable for AD and achieve a significant performance improvement in comparison to state-of-the-art approaches. Our optimized model runs at 52~fps on full HD images and still reaches a competitive performance of 32.25~LAMR. We are confident that our work serves as an enabler to tackle higher-level tasks like VRU intention estimation and gesture recognition, which rely on stable pose estimates and will play a crucial role in future AD systems.",,,,,
IAAI-55,Predicting Accidents in the Mining Industry with a Multitask Learning Approach,Rodolfo Palma|Luis Martí|Nayat Sanchez-Pi,"The mining sector is a very relevant part of the  Chilean economy, representing more than 14\% of the country’s GDP and more than 50\% of its exports. However, mining is also a high-risk activity where health, safety, and environmental aspects are fundamental concerns to take into account to render it viable in the longer term. The Chilean National Geology and Mining Service (SERNAGEOMIN, after its name in Spanish) is in charge of ensuring the safe operation of mines. On-site inspections are their main tool in order to detect issues, propose corrective measures, and track the compliance of those measures.  Consequently, it is necessary to create inspection programs relying on a data-based decision-making strategy.        This paper reports the work carried out in one of the most relevant dimensions of said strategy: predicting the mining worksites accident risk. That is, how likely it is a mining worksite to have accidents in the future. This risk is then used to create a priority ranking that is used to devise the inspection program. Estimating this risk at the government regulator level is particularly challenging as there is a very limited and biased data.        Our main contribution is to apply a multi-task learning approach to train the risk prediction model in such a way that is able to overcome the constraints of the limited availability of data by fusing different sources. As part of this work, we also implemented a human-experience-based model that captures the procedures currently used by the current experts in charge of elaborating the inspection priority ranking.        The mining worksites risk rankings built by model achieve a 121.2% NDCG performance improvement over the rankings based on the currently used experts’ model and outperforms the non-multi-task learning alternatives.",,,,,
IAAI-59,Ontology-Enriched Query Answering on Relational Databases,Shqiponja Ahmetaj|Vasilis Efthymiou|Ronald Fagin|Phokion Kolaitis|Chuan Lei|Fatma Ozcan|Lucian Popa,"We develop a flexible, open-source framework for query answering on relational databases by adopting methods and techniques from the Semantic Web community and the data exchange community, and we apply this framework to a medical use case. We first deploy module-extraction techniques to derive a concise and relevant sub-ontology from an external reference ontology. We then use the chase procedure from the data exchange community to materialize a universal solution that can be subsequently used to answer queries on an enterprise medical database. Along the way, we identify a new class of well-behaved acyclic EL-ontologies extended with role hierarchies, suitably restricted functional roles, and domain/range restrictions, which cover our use case. We show that such ontologies are C-stratified, which implies that the chase procedure terminates in polynomial time. We provide a detailed overview of our real-life application in the medical domain and demonstrate the benefits of this approach, such as discovering additional answers and formulating new queries.",,,,,
IAAI-60,Finding Needles in Heterogeneous Haystacks,Bijaya Adhikari|Liangyue Li|Nikhil Rao|Karthik Subbian,"Due to intense competition and lack of real estate on the front page of large e-commerce platforms, sellers are sometimes motivated to garner non-genuine signals (clicks, add-to-carts, purchases) on their products, to make them appear more appealing to customers. This hurts customers' trust on the platform, and also hurts genuine sellers who sell their items without looking to game the system. While it is important to find the sellers and the buyers who are colluding to garner these non-genuine signals, doing so is highly nontrivial. Firstly, the set of bad actors in the system is a very small fraction of all the buyers/sellers on the platform. Secondly, bad actors ``hide"" with the good ones, making them hard to detect. In this paper, we develop CONGCN, a context aware heterogeneous graph convolutional network to detect bad actors on a large heterogeneous graph. While our method is motivated by abuse detection in e-commerce, the method is applicable to other areas such as computational biology and finance, where large heterogeneous graphs are pervasive, and the amount of labeled data is very limited. We train CONGCN via novel sampling methods, and context aware message passing in a semi-supervised fashion to predict dishonest buyers and sellers in e-commerce. Extensive experiments show that our method is effective, beating several baselines; generalizable to an inductive setting and highly scalable",,,,,
IAAI-74,Shape-based Feature Engineering for Solar Flare Prediction,Varad Deshmukh|Thomas Berger|James Meiss|Elizabeth Bradley,"Solar flares are caused by magnetic eruptions in activeregions (ARs) on the surface of the sun.  These events can havesignificant impacts on human activity, many of which can be mitigatedwith enough advance warning from good forecasts.  To date, machinelearning-based flare-prediction methods have employed physics-basedattributes of the AR images as features; more recently, there has beensome work that uses features deduced automatically by deep learningmethods (such as convolutional neural networks).  We describe a suiteof novel shape-based features extracted from magnetogram images of theSun using the tools of computational topology and computationalgeometry.  We evaluate these features in the context of a multi-layerperceptron (MLP) neural network and compare their performance againstthe traditional physics-based attributes.  We show that these abstractshape-based features outperform the features chosen by the humanexperts, and that a combination of the two feature sets improves theforecasting capability even further.",,,,,
